Date,Open,High,Low,Close,Adj Close,Volume
2021-08-24,3.050000,3.100000,2.960000,3.100000,3.100000,2607600
2021-08-25,3.030000,3.160000,3.000000,3.160000,3.160000,2507300
2021-08-26,3.040000,3.110000,2.960000,2.980000,2.980000,2847100
2021-08-27,3.030000,3.170000,3.000000,3.120000,3.120000,3937800
2021-08-30,3.100000,3.180000,3.010000,3.170000,3.170000,3156200
2021-08-31,3.170000,3.280000,3.100000,3.180000,3.180000,4009500
2021-09-01,3.210000,3.410000,3.150000,3.270000,3.270000,8288100
2021-09-02,3.410000,3.470000,3.300000,3.360000,3.360000,6338800
2021-09-03,3.380000,3.740000,3.380000,3.600000,3.600000,14404500
2021-09-07,3.670000,3.750000,3.180000,3.310000,3.310000,10626000
2021-09-08,3.220000,3.330000,3.030000,3.190000,3.190000,4912000
2021-09-09,3.290000,3.350000,3.200000,3.200000,3.200000,4600500
2021-09-10,3.160000,3.180000,2.990000,3.000000,3.000000,5281000
2021-09-13,3.000000,3.110000,2.900000,3.060000,3.060000,5192500
2021-09-14,3.100000,3.160000,2.950000,2.950000,2.950000,2523400
2021-09-15,3.050000,3.070000,2.960000,3.020000,3.020000,3019700
2021-09-16,3.000000,3.020000,2.890000,2.900000,2.900000,2636500
2021-09-17,2.860000,2.940000,2.800000,2.800000,2.800000,3204200
2021-09-20,2.600000,2.640000,2.500000,2.590000,2.590000,4361300
2021-09-21,2.640000,2.690000,2.520000,2.550000,2.550000,2776900
2021-09-22,2.640000,2.930000,2.590000,2.800000,2.800000,4200900
2021-09-23,2.920000,2.980000,2.850000,2.960000,2.960000,3831700
2021-09-24,2.740000,2.960000,2.730000,2.850000,2.850000,4180300
2021-09-27,2.900000,2.960000,2.800000,2.860000,2.860000,3024100
2021-09-28,2.760000,2.830000,2.630000,2.660000,2.660000,3349500
2021-09-29,2.720000,2.740000,2.550000,2.560000,2.560000,2727300
2021-09-30,2.680000,2.680000,2.560000,2.670000,2.670000,3380700
2021-10-01,2.840000,2.840000,2.700000,2.780000,2.780000,5182800
2021-10-04,2.880000,2.900000,2.740000,2.830000,2.830000,4909900
2021-10-05,2.900000,3.060000,2.840000,3.040000,3.040000,7260000
2021-10-06,3.120000,3.160000,2.990000,3.070000,3.070000,7056400
2021-10-07,3.040000,3.060000,2.920000,2.950000,2.950000,2983900
2021-10-08,3.020000,3.030000,2.880000,2.920000,2.920000,2879700
2021-10-11,2.960000,3.150000,2.940000,3.110000,3.110000,4263400
2021-10-12,3.050000,3.060000,2.850000,2.890000,2.890000,4954500
2021-10-13,2.920000,2.940000,2.790000,2.870000,2.870000,3397400
2021-10-14,2.940000,2.950000,2.840000,2.890000,2.890000,3301000
2021-10-15,2.960000,3.200000,2.930000,3.130000,3.130000,11054700
2021-10-18,3.180000,3.500000,3.150000,3.350000,3.350000,13040600
2021-10-19,3.470000,3.660000,3.250000,3.640000,3.640000,13508900
2021-10-20,3.700000,4.100000,3.650000,3.970000,3.970000,20876000
